bioguide,first_name,last_name,state,district,problem_solvers,governance_group,main_street,study_committee,freedom_caucus
A000055,Robert B.,Aderholt,AL,4,FALSE,FALSE,FALSE,TRUE,FALSE
A000379,Mark,Alford,MO,4,FALSE,FALSE,FALSE,TRUE,FALSE
A000372,Rick,Allen,GA,12,FALSE,FALSE,FALSE,TRUE,FALSE
A000369,Mark,Amodei,NV,2,FALSE,TRUE,FALSE,FALSE,FALSE
A000377,Kelly,Armstrong,ND,0,FALSE,TRUE,TRUE,TRUE,FALSE
A000375,Jodey,Arrington,TX,19,FALSE,FALSE,FALSE,TRUE,FALSE
B001291,Brian,Babin,TX,36,FALSE,FALSE,FALSE,TRUE,FALSE
B001298,Don,Bacon,NE,2,TRUE,TRUE,TRUE,TRUE,FALSE
B001307,Jim,Baird,IN,4,FALSE,FALSE,FALSE,TRUE,FALSE
B001306,Troy,Balderson,OH,12,FALSE,TRUE,FALSE,TRUE,FALSE
B001299,Jim,Banks,IN,3,FALSE,FALSE,FALSE,TRUE,FALSE
B001282,"Garland ""Andy""",Barr,KY,6,FALSE,FALSE,TRUE,TRUE,FALSE
B001314,Aaron,Bean,FL,4,FALSE,FALSE,TRUE,TRUE,FALSE
B000668,Cliff,Bentz,OR,2,FALSE,TRUE,TRUE,TRUE,FALSE
B001301,Jack,Bergman,MI,1,FALSE,FALSE,FALSE,TRUE,FALSE
B000740,Stephanie I.,Bice,OK,5,FALSE,FALSE,TRUE,TRUE,FALSE
B001302,Andy,Biggs,AZ,5,FALSE,FALSE,FALSE,FALSE,TRUE
B001257,Gus M.,Bilirakis,FL,12,FALSE,FALSE,FALSE,TRUE,FALSE
B001311,Dan,Bishop,NC,8,FALSE,FALSE,FALSE,TRUE,TRUE
B000825,Lauren,Boebert,CO,3,FALSE,FALSE,FALSE,TRUE,TRUE
B001295,Mike,Bost,IL,12,FALSE,TRUE,TRUE,TRUE,FALSE
B001317,Josh,Brecheen,OK,2,FALSE,FALSE,FALSE,TRUE,TRUE
B001260,Vern,Buchanan,FL,16,FALSE,FALSE,FALSE,TRUE,FALSE
B001297,Ken,Buck,CO,4,FALSE,FALSE,FALSE,TRUE,TRUE
B001275,Larry,Bucshon,IN,8,FALSE,FALSE,TRUE,TRUE,FALSE
B001309,Tim,Burchett,TN,2,FALSE,FALSE,FALSE,FALSE,FALSE
B001248,Michael C.,Burgess,TX,26,FALSE,TRUE,TRUE,TRUE,FALSE
B001316,Eric ,Burlison,MO,7,FALSE,FALSE,FALSE,TRUE,FALSE
C000059,Ken,Calvert,CA,41,FALSE,FALSE,TRUE,FALSE,FALSE
C001039,Kat,Cammack,FL,3,FALSE,FALSE,FALSE,TRUE,FALSE
C001126,Mike,Carey,OH,15,FALSE,FALSE,FALSE,TRUE,FALSE
C001054,Jerry L.,Carl,AL,1,FALSE,FALSE,FALSE,TRUE,FALSE
C001103,"Earl L. ""Buddy""",Carter,GA,1,FALSE,FALSE,FALSE,TRUE,FALSE
C001051,John,Carter,TX,31,FALSE,FALSE,FALSE,TRUE,FALSE
C001135,Lori,Chavez-DeRemer,OR,5,TRUE,TRUE,TRUE,FALSE,FALSE
C001133,Juan,Ciscomani,AZ,6,TRUE,TRUE,TRUE,FALSE,FALSE
C001118,Ben,Cline,VA,6,TRUE,FALSE,FALSE,TRUE,TRUE
C001115,Michael,Cloud,TX,27,FALSE,FALSE,FALSE,TRUE,TRUE
C001116,Andrew S.,Clyde,GA,9,FALSE,FALSE,FALSE,TRUE,TRUE
C001053,Tom,Cole,OK,4,FALSE,FALSE,FALSE,TRUE,FALSE
C001129,Mike,Collins,GA,10,FALSE,FALSE,FALSE,FALSE,FALSE
C001108,James,Comer,KY,1,FALSE,FALSE,FALSE,TRUE,FALSE
C001132,Elijah,Crane,AZ,2,FALSE,FALSE,FALSE,FALSE,TRUE
C001087,"Eric A. ""Rick""",Crawford,AR,1,FALSE,FALSE,FALSE,FALSE,FALSE
C001120,Dan,Crenshaw,TX,2,FALSE,FALSE,TRUE,TRUE,FALSE
C001114,John,Curtis,UT,3,TRUE,TRUE,TRUE,TRUE,FALSE
D000632,Anthony P.,D'Esposito,NY,4,TRUE,TRUE,TRUE,FALSE,FALSE
D000626,Warren,Davidson,OH,8,FALSE,FALSE,FALSE,TRUE,TRUE
D000594,Monica,De La Cruz,TX,15,FALSE,FALSE,TRUE,TRUE,FALSE
